City,Area,Property_Type,Size_sqft,Bedrooms,Bathrooms,Age_Years,Facing,Highway_Distance_m,Price
Kanpur,Kidwai Nagar,Flat,3776,3,3,12,North-East,4449,12308956
Noida,Greater Noida,House,4700,2,2,1,West,3434,32307492
Noida,Sector 150,Flat,800,2,2,19,West,4867,5610561
Banaras,Sarnath,Flat,1683,4,4,15,South,1578,10167048
Gorakhpur,Shahpur,Plot,1285,0,0,0,East,261,12623107
Noida,Greater Noida,Plot,2163,0,0,0,West,962,17717353
Banaras,Sarnath,Flat,1626,3,3,11,North-East,4674,7471010
Lucknow,Gomti Nagar,Plot,1216,0,0,0,South,4000,6833042
Banaras,Lanka,Flat,3107,3,3,22,East,2789,19714547
Gorakhpur,Shahpur,Flat,4925,4,4,9,North-East,4845,15922956
Kanpur,Swaroop Nagar,Flat,3208,4,4,11,East,755,14290565
Banaras,Sigra,House,1960,4,4,13,East,2934,10311091
Banaras,Lanka,Flat,4838,1,1,1,North,391,35729113
Noida,Sector 150,Flat,1265,5,5,19,West,2864,12030312
Banaras,Sarnath,Plot,3935,0,0,0,South,1337,20628440
Gorakhpur,Shahpur,Flat,2394,3,3,20,East,2617,9773922
Noida,Greater Noida,Flat,1157,4,4,11,East,2983,9447879
Kanpur,Kidwai Nagar,House,2258,5,5,21,North,676,10517376
Noida,Greater Noida,Flat,4282,1,1,0,East,2105,31210498
Gorakhpur,Taramandal,Plot,1513,0,0,0,West,3400,6968466
Lucknow,Indira Nagar,Flat,1864,1,1,23,East,2916,9273168
Banaras,Sarnath,Flat,4658,5,5,4,North,4552,20411363
Gorakhpur,Medical Road,Plot,2571,0,0,0,North,2495,9581512
Noida,Sector 62,Flat,3969,5,5,12,North,917,32848611
Banaras,Sigra,Flat,2378,1,1,2,South,1323,13315379
Kanpur,Arya Nagar,Flat,868,3,3,22,North-East,3923,3384812
Banaras,Lanka,House,1134,4,4,24,West,342,9270305
Lucknow,Gomti Nagar,House,1782,5,5,22,North,4287,11128267
Lucknow,Gomti Nagar,Flat,628,2,2,3,North,1391,5143472
Noida,Sector 150,Plot,3171,0,0,0,North-East,4655,22129482
Lucknow,Hazratganj,Plot,3006,0,0,0,North,2857,18937816
Banaras,Sigra,House,2217,4,4,0,East,4748,10410209
Gorakhpur,Taramandal,House,3577,1,1,16,North,4206,15124734
Noida,Sector 150,Plot,2784,0,0,0,North-East,4200,20645188
Gorakhpur,Rustampur,Flat,2668,3,3,12,North,4502,9324386
Kanpur,Arya Nagar,Flat,2550,5,5,19,North-East,4420,8716866
Noida,Sector 150,House,2966,2,2,1,North,4484,21641745
Gorakhpur,Taramandal,Flat,1331,1,1,8,East,1537,7565695
Kanpur,Kidwai Nagar,Flat,3809,4,4,22,East,3743,12874335
Banaras,Sigra,Flat,4202,1,1,4,North,3214,19354389
Lucknow,Hazratganj,Flat,1990,1,1,13,East,3823,11264237
Lucknow,Indira Nagar,House,2229,4,4,3,North-East,4077,11151682
Banaras,Sigra,Flat,1834,1,1,3,East,3345,8676461
Noida,Sector 62,Plot,2449,0,0,0,West,3119,16493959
Gorakhpur,Shahpur,Plot,2416,0,0,0,East,282,22203257
Lucknow,Indira Nagar,Flat,933,1,1,18,North-East,1373,5273366
Noida,Greater Noida,Plot,4484,0,0,0,North,3950,27397621
Kanpur,Arya Nagar,Plot,3402,0,0,0,North,4608,10157846
Kanpur,Kidwai Nagar,Plot,1288,0,0,0,West,662,5190934
Kanpur,Swaroop Nagar,House,4535,5,5,15,North,1434,18828936
Banaras,Sarnath,Flat,2522,5,5,9,South,1308,15491096
Lucknow,Gomti Nagar,House,2508,4,4,24,North,3279,16564549
Banaras,Lanka,Flat,1593,2,2,12,East,2686,9958997
Gorakhpur,Taramandal,Flat,4336,5,5,0,South,3809,20977971
Noida,Greater Noida,House,1450,5,5,9,North,4939,9692194
Gorakhpur,Shahpur,Plot,2421,0,0,0,North-East,3329,8385228
Lucknow,Indira Nagar,Flat,3110,1,1,14,South,3851,14609986
Kanpur,Swaroop Nagar,Flat,1338,4,4,19,South,2706,5877431
Gorakhpur,Rustampur,House,1992,3,3,19,West,518,9591629
Lucknow,Hazratganj,Flat,656,3,3,8,North-East,4684,4274832
Kanpur,Swaroop Nagar,House,1502,5,5,15,North,4929,5609117
Lucknow,Hazratganj,Flat,2995,4,4,20,North,2457,20822003
Gorakhpur,Taramandal,House,1857,2,2,4,West,1879,10748382
Noida,Sector 62,Plot,1730,0,0,0,South,4521,10077255
Gorakhpur,Shahpur,Flat,1932,1,1,3,East,1234,8373829
Kanpur,Arya Nagar,Flat,4630,5,5,16,South,3792,16318125
Kanpur,Kidwai Nagar,Flat,3957,5,5,23,North,969,16723376
Gorakhpur,Rustampur,Flat,1046,2,2,17,South,2715,4132172
Noida,Sector 62,Flat,1298,2,2,3,West,98,12208171
Banaras,Sarnath,House,3874,1,1,6,West,4945,15649370
Gorakhpur,Rustampur,House,1940,1,1,23,North-East,256,19072010
Lucknow,Indira Nagar,Plot,4837,0,0,0,South,4448,21620373
Kanpur,Swaroop Nagar,Plot,1646,0,0,0,North-East,2928,5404419
Banaras,Sarnath,House,4483,4,4,3,West,2724,23031336
Kanpur,Kidwai Nagar,Flat,4966,5,5,12,South,4520,15701416
Kanpur,Kidwai Nagar,Plot,1678,0,0,0,West,3805,5160705
Kanpur,Swaroop Nagar,Plot,1357,0,0,0,North-East,3855,4111959
Lucknow,Gomti Nagar,Flat,845,5,5,8,North-East,4775,6141002
Lucknow,Gomti Nagar,Flat,1500,4,4,8,North-East,1906,11750272
Noida,Greater Noida,Plot,4162,0,0,0,East,4650,24391400
Kanpur,Kidwai Nagar,Flat,2693,4,4,8,North-East,3061,10517487
Gorakhpur,Taramandal,Plot,2079,0,0,0,North-East,906,12052201
Banaras,Sigra,House,2675,5,5,1,North-East,627,16843320
Gorakhpur,Shahpur,Flat,3281,3,3,2,West,538,15557972
Lucknow,Hazratganj,Flat,3856,4,4,9,North,2858,24934556
Gorakhpur,Shahpur,Flat,4722,4,4,3,East,1826,20442341
Gorakhpur,Rustampur,Plot,2713,0,0,0,West,1600,10869656
Kanpur,Arya Nagar,Flat,2558,2,2,18,North,4450,7925187
Lucknow,Indira Nagar,Flat,1389,5,5,12,North-East,4589,7391199
Banaras,Sarnath,Plot,4914,0,0,0,North,4688,19031663
Kanpur,Kidwai Nagar,Flat,4056,3,3,18,North-East,123,17977539
Banaras,Lanka,Flat,1511,1,1,1,East,2557,9330910
Noida,Sector 62,Plot,1521,0,0,0,North,3119,10409759
Noida,Greater Noida,Plot,1294,0,0,0,East,1830,9523836
Gorakhpur,Medical Road,Flat,3640,5,5,22,East,1353,16771251
Banaras,Sarnath,Plot,1001,0,0,0,North,67,5902798
Banaras,Lanka,Plot,2436,0,0,0,West,3919,12975275
Gorakhpur,Rustampur,Flat,3500,1,1,22,North,1752,13410089
Noida,Sector 150,Flat,4659,3,3,6,East,464,47165845
Banaras,Sarnath,Plot,832,0,0,0,East,4352,3390415
Banaras,Sarnath,Flat,3312,2,2,14,East,1565,17760760
Lucknow,Gomti Nagar,Plot,4316,0,0,0,West,1304,30505482
Kanpur,Swaroop Nagar,Flat,4004,5,5,19,North,2315,15862019
Gorakhpur,Taramandal,Plot,3911,0,0,0,West,4979,15439876
Noida,Sector 150,Flat,1735,1,1,4,North,657,16899813
Banaras,Sigra,Flat,2258,5,5,18,West,3410,11683163
Lucknow,Indira Nagar,Plot,4635,0,0,0,East,1557,25694105
Banaras,Lanka,House,3309,2,2,1,West,724,24090298
Noida,Greater Noida,Flat,4987,2,2,15,North,2791,34633114
Lucknow,Gomti Nagar,Flat,1212,5,5,6,West,1885,10131579
Kanpur,Kidwai Nagar,Plot,2435,0,0,0,East,4593,7054449
Noida,Sector 62,Plot,3347,0,0,0,North,1318,25365680
Banaras,Sigra,Plot,4705,0,0,0,South,2861,22050870
Banaras,Sigra,House,4729,5,5,0,North-East,268,29931977
Gorakhpur,Taramandal,Plot,4020,0,0,0,North,4643,16634997
Noida,Sector 150,Flat,1332,1,1,22,East,1849,11203747
Kanpur,Swaroop Nagar,Flat,2950,5,5,24,North-East,4159,10122324
Lucknow,Indira Nagar,Flat,1536,4,4,12,North-East,498,10586367
Lucknow,Hazratganj,House,1494,1,1,15,West,4246,8122256
Lucknow,Hazratganj,Plot,4136,0,0,0,West,1996,28332209
Kanpur,Kidwai Nagar,Plot,2356,0,0,0,North,3904,7264701
Gorakhpur,Medical Road,Flat,3355,1,1,3,East,2641,12912382
Gorakhpur,Shahpur,Flat,3705,4,4,17,East,538,17139131
Lucknow,Indira Nagar,Flat,2619,1,1,20,North,298,15586755
Lucknow,Gomti Nagar,Plot,1095,0,0,0,East,1228,7615529
Lucknow,Gomti Nagar,Flat,3246,1,1,23,North,539,23832912
Noida,Greater Noida,Flat,3830,3,3,9,East,952,30913307
Banaras,Sarnath,Plot,4372,0,0,0,North,2002,22231138
Banaras,Lanka,Plot,4394,0,0,0,North,1382,29784268
Gorakhpur,Rustampur,House,3156,5,5,18,West,4455,11131129
Lucknow,Indira Nagar,Flat,1719,1,1,9,South,4808,7245065
Gorakhpur,Shahpur,Flat,4712,1,1,17,South,2418,17654403
Kanpur,Swaroop Nagar,Flat,4630,3,3,15,North,3253,15693079
Noida,Sector 150,Flat,2880,3,3,2,North-East,4207,21234335
Kanpur,Kidwai Nagar,House,2982,2,2,14,West,3523,9965419
Kanpur,Kidwai Nagar,Flat,3128,1,1,3,North-East,2011,11826087
Lucknow,Hazratganj,Flat,616,5,5,2,West,4570,5089984
Lucknow,Indira Nagar,Plot,1929,0,0,0,South,4203,8582761
Gorakhpur,Medical Road,Flat,1477,1,1,5,North,2779,5781051
Lucknow,Indira Nagar,Plot,4331,0,0,0,North,3052,21243757
Gorakhpur,Shahpur,Plot,3964,0,0,0,West,700,17176326
Noida,Sector 150,Flat,1533,4,4,11,East,2217,14068500
Lucknow,Indira Nagar,Flat,4882,1,1,12,East,3413,23740128
Noida,Greater Noida,Flat,4519,3,3,21,West,2333,33368043
Kanpur,Arya Nagar,Plot,1415,0,0,0,North,1400,5266233
Noida,Sector 62,Plot,2459,0,0,0,West,1156,19046941
Kanpur,Swaroop Nagar,House,1639,2,2,10,West,1370,6818130
Banaras,Lanka,Flat,1512,5,5,16,West,844,12164344
Banaras,Sigra,Flat,964,1,1,12,East,1110,5416097
Banaras,Sigra,Flat,3689,2,2,3,West,1558,20347377
Banaras,Sigra,Flat,1696,3,3,17,South,4647,7345544
Noida,Sector 150,Flat,3318,4,4,18,South,2193,29251473
Noida,Greater Noida,Flat,4558,1,1,9,East,319,37434761
Gorakhpur,Medical Road,Flat,4524,3,3,3,South,4215,15413494
Banaras,Lanka,Flat,4909,5,5,24,East,3749,28932796
Kanpur,Swaroop Nagar,Flat,3225,5,5,21,East,1156,13860172
Banaras,Sarnath,Flat,2315,3,3,13,West,2280,12559625
Lucknow,Hazratganj,House,3337,5,5,6,West,1804,25221124
Kanpur,Arya Nagar,House,4719,5,5,15,East,3821,16717723
Banaras,Sarnath,Flat,716,1,1,5,South,4316,3206893
Banaras,Lanka,Plot,2079,0,0,0,North,4417,10780645
Noida,Sector 150,Plot,1482,0,0,0,West,3012,11754443
Gorakhpur,Shahpur,Flat,4055,3,3,2,East,538,18580418
Banaras,Sarnath,Flat,1847,5,5,15,North-East,425,12610868
Noida,Sector 150,House,4212,4,4,9,North,4692,29963566
Kanpur,Swaroop Nagar,Flat,1467,3,3,0,South,2864,6356730
Banaras,Sigra,Flat,3677,2,2,1,East,3836,16550782
Lucknow,Gomti Nagar,Plot,2708,0,0,0,East,3047,16848707
Lucknow,Indira Nagar,Flat,3822,5,5,24,West,2924,20289207
Gorakhpur,Taramandal,Plot,4292,0,0,0,North-East,2751,20432430
Banaras,Sigra,Plot,1140,0,0,0,North,3754,4835736
Gorakhpur,Taramandal,House,1351,3,3,0,West,4420,6694587
Lucknow,Indira Nagar,Flat,4434,4,4,2,North-East,4167,21826829
Kanpur,Kidwai Nagar,House,4881,3,3,22,West,3117,17255178
Banaras,Lanka,House,2392,4,4,14,North,4597,12823222
Noida,Sector 62,House,1237,2,2,21,North-East,513,10225674
Lucknow,Gomti Nagar,House,1874,1,1,13,East,1385,13489589
Noida,Sector 150,Plot,4098,0,0,0,South,151,39592806
Lucknow,Gomti Nagar,Plot,4485,0,0,0,East,4135,25549946
Kanpur,Swaroop Nagar,Plot,3467,0,0,0,East,3048,11373249
Gorakhpur,Rustampur,House,4653,5,5,19,South,299,46490096
Lucknow,Gomti Nagar,House,717,5,5,16,North,2788,6021107
Gorakhpur,Medical Road,Plot,2583,0,0,0,North,1938,10014844
Lucknow,Hazratganj,Flat,2423,4,4,4,East,1246,18724198
Lucknow,Gomti Nagar,Plot,3820,0,0,0,South,2766,23654751
Noida,Sector 62,Flat,1776,1,1,13,East,2065,13256407
Gorakhpur,Rustampur,House,1136,2,2,9,South,4009,4220050
Banaras,Lanka,House,3948,1,1,7,North,949,26977119
Noida,Greater Noida,House,3519,2,2,17,North,2868,24202775
Banaras,Sigra,Flat,2561,2,2,17,West,1609,13329360
Noida,Greater Noida,House,2360,3,3,12,West,2896,17182241
Noida,Sector 150,Flat,1568,3,3,12,South,3990,12533967
Noida,Sector 62,Flat,3590,4,4,9,South,861,29987586
Noida,Greater Noida,Plot,2759,0,0,0,North,2767,19303938
Banaras,Lanka,Flat,1913,3,3,2,South,1899,13503522
Kanpur,Arya Nagar,House,3912,1,1,23,West,3831,12011078
Kanpur,Arya Nagar,Flat,3051,5,5,10,East,4731,10093028
Kanpur,Kidwai Nagar,Flat,3034,4,4,22,South,286,14003037
Gorakhpur,Shahpur,Flat,4533,2,2,0,North,1720,18943449
Lucknow,Hazratganj,Flat,1712,2,2,16,North-East,932,13191763
Noida,Sector 150,House,4050,2,2,13,North-East,4165,29360332
Kanpur,Swaroop Nagar,House,4214,4,4,8,East,4427,13673344
Noida,Sector 150,House,825,5,5,21,North-East,2142,8819173
Banaras,Lanka,Flat,2387,3,3,15,West,3575,14084587
Noida,Sector 62,Flat,3563,4,4,15,West,3141,24529191
Gorakhpur,Shahpur,Plot,1369,0,0,0,North,2027,5474424
Kanpur,Arya Nagar,Plot,1409,0,0,0,North-East,2882,4826627
Kanpur,Arya Nagar,Flat,3708,3,3,11,North,1005,15870560
Noida,Greater Noida,Flat,990,5,5,18,North,2729,8376435
Lucknow,Gomti Nagar,Flat,3937,2,2,24,South,288,30395250
Gorakhpur,Shahpur,House,3453,1,1,2,West,1581,14361175
Gorakhpur,Rustampur,House,931,3,3,21,West,607,4820010
Banaras,Sigra,Plot,2636,0,0,0,North,4751,10649201
Lucknow,Hazratganj,Flat,3667,4,4,0,North-East,741,29344351
Banaras,Sarnath,Flat,1444,3,3,20,East,2125,7727780
Kanpur,Swaroop Nagar,Flat,1656,1,1,18,East,2533,5637322
Banaras,Lanka,Plot,2622,0,0,0,South,4709,12819850
Noida,Sector 150,Plot,948,0,0,0,North-East,203,9461191
Noida,Sector 62,Flat,1412,1,1,19,East,1765,10359449
Kanpur,Kidwai Nagar,Plot,2275,0,0,0,West,995,8683765
Noida,Sector 62,House,4786,4,4,10,North-East,4025,31256271
Kanpur,Swaroop Nagar,Flat,4624,1,1,10,North,3596,14735314
Noida,Sector 62,Plot,4565,0,0,0,West,2271,33283097
Kanpur,Swaroop Nagar,House,2567,4,4,13,West,1638,10937482
Kanpur,Swaroop Nagar,House,3554,5,5,17,South,4075,12635789
Gorakhpur,Taramandal,Flat,1830,3,3,4,North-East,858,11609406
Kanpur,Arya Nagar,House,3280,3,3,0,South,2395,12590740
Noida,Greater Noida,Flat,3761,1,1,20,North,3960,22938062
Lucknow,Indira Nagar,Flat,2571,1,1,10,North,56,16232406
Lucknow,Hazratganj,Plot,4863,0,0,0,South,3737,27713789
Banaras,Lanka,House,2810,3,3,4,West,3045,17775861
Noida,Greater Noida,Plot,2822,0,0,0,East,3938,17858566
Gorakhpur,Rustampur,Flat,3827,4,4,23,East,490,17429968
Noida,Greater Noida,House,753,5,5,6,East,2645,6998465
Gorakhpur,Rustampur,Flat,2575,4,4,0,East,3762,10158792
Kanpur,Swaroop Nagar,Flat,2921,2,2,10,East,2830,10221263
Noida,Sector 62,House,3867,2,2,22,East,2244,28278739
Kanpur,Swaroop Nagar,Plot,2287,0,0,0,East,2444,7946924
Lucknow,Hazratganj,Flat,2018,1,1,22,East,994,14566062
Gorakhpur,Taramandal,House,3991,2,2,24,North-East,2296,20992315
Kanpur,Kidwai Nagar,Flat,2952,4,4,12,South,3529,10856948
Lucknow,Gomti Nagar,Plot,4501,0,0,0,North-East,1934,29577476
Noida,Sector 150,Flat,3010,1,1,3,East,1523,28027111
Lucknow,Hazratganj,Flat,2982,5,5,9,North-East,2388,21373492
Banaras,Sigra,House,715,3,3,22,North,4563,3521941
Lucknow,Gomti Nagar,Plot,2151,0,0,0,South,352,16280025
Noida,Sector 62,Flat,4277,4,4,5,East,1685,34877557
Noida,Sector 150,Flat,1853,1,1,11,North,3412,14350539
Noida,Sector 150,Flat,969,5,5,9,East,3067,9635478
Lucknow,Gomti Nagar,Flat,1125,3,3,16,West,1666,8492710
Gorakhpur,Medical Road,Flat,4244,4,4,2,West,1322,19663654
Noida,Sector 62,Plot,1322,0,0,0,South,1755,9661526
Noida,Sector 150,Flat,3865,4,4,21,West,538,39481313
Kanpur,Swaroop Nagar,Plot,4652,0,0,0,South,2029,17142899
Kanpur,Swaroop Nagar,Flat,676,3,3,24,South,3554,2705811
Lucknow,Indira Nagar,Flat,3501,3,3,14,East,862,21224608
Banaras,Sarnath,Flat,3358,5,5,1,East,308,21684586
Kanpur,Kidwai Nagar,Flat,3787,1,1,5,West,1137,14867854
Lucknow,Hazratganj,Flat,3907,5,5,4,North,3376,25742745
Banaras,Sarnath,Plot,4174,0,0,0,West,3873,17948324
Lucknow,Indira Nagar,Plot,4269,0,0,0,West,4247,19376243
Gorakhpur,Rustampur,Flat,3464,4,4,23,East,3883,12514091
Noida,Greater Noida,Flat,4931,3,3,5,East,1263,39345516
Gorakhpur,Medical Road,Flat,3000,2,2,18,East,871,13234687
Banaras,Sarnath,Flat,812,1,1,19,West,3739,3479319
Noida,Greater Noida,Flat,2944,5,5,13,South,4297,19857189
Gorakhpur,Taramandal,Flat,3206,4,4,18,East,2426,16996437
Lucknow,Gomti Nagar,Flat,3882,2,2,3,North-East,930,28775728
Noida,Sector 150,House,2231,3,3,6,South,1397,21030320
Banaras,Sigra,Flat,1694,2,2,8,North-East,2781,8675785
Banaras,Lanka,Flat,2105,2,2,4,North-East,4208,11625937
Noida,Sector 150,Plot,4534,0,0,0,West,512,43374852
Gorakhpur,Taramandal,House,1012,5,5,7,South,3944,6204351
Lucknow,Gomti Nagar,Flat,2049,3,3,18,East,2533,14298198
Gorakhpur,Medical Road,Flat,3171,5,5,4,West,4487,12013109
Banaras,Lanka,Flat,1777,5,5,8,North-East,3560,11332264
Banaras,Sarnath,Plot,2308,0,0,0,East,4797,9259906
Lucknow,Gomti Nagar,Flat,4528,2,2,18,North,4786,24660766
Gorakhpur,Taramandal,House,1923,4,4,15,North,4671,9245678
Kanpur,Swaroop Nagar,Flat,1279,4,4,7,South,769,6890976
Gorakhpur,Medical Road,House,2948,2,2,13,North-East,2158,11877256
Banaras,Sarnath,Plot,3177,0,0,0,South,3909,13387489
Banaras,Sarnath,Flat,4490,1,1,9,East,4150,18594389
Banaras,Sigra,Plot,2447,0,0,0,North-East,4665,9522488
Banaras,Sigra,House,4756,2,2,13,North-East,1971,25041643
Gorakhpur,Rustampur,House,3104,5,5,22,West,4065,11306854
Noida,Greater Noida,Plot,4342,0,0,0,East,3794,27947103
Lucknow,Hazratganj,Flat,2069,4,4,23,North,1454,15415526
Gorakhpur,Rustampur,House,2847,2,2,11,East,3777,9932980
Gorakhpur,Rustampur,Flat,3674,2,2,20,North-East,2134,14738062
Lucknow,Indira Nagar,House,2454,5,5,1,West,2192,15428898
Gorakhpur,Medical Road,Flat,635,2,2,4,North-East,2828,3053185
Banaras,Lanka,Flat,2224,5,5,10,North-East,887,16853915
Banaras,Sigra,Flat,1418,5,5,22,East,3415,7825275
Noida,Sector 62,Flat,1047,2,2,1,East,4130,7112254
Gorakhpur,Taramandal,Flat,3732,3,3,11,North,4293,16385157
Banaras,Sarnath,Flat,2375,2,2,7,North,2540,12148127
Banaras,Lanka,House,2136,2,2,7,North,1262,14565248
Banaras,Sigra,Flat,2507,5,5,3,North,1544,14851953
Gorakhpur,Medical Road,Plot,1918,0,0,0,North,4018,6404760
Noida,Sector 150,Plot,4157,0,0,0,East,133,42376889
Gorakhpur,Shahpur,Flat,759,5,5,2,East,314,5902521
Noida,Greater Noida,Plot,3848,0,0,0,West,4312,22738081
Gorakhpur,Rustampur,Flat,2194,2,2,10,North-East,4735,7451962
Banaras,Lanka,House,2638,1,1,5,South,4095,14354945
Banaras,Lanka,Plot,3788,0,0,0,North,4218,19317517
Noida,Sector 62,Plot,3117,0,0,0,North-East,4973,18071952
Noida,Greater Noida,Plot,4085,0,0,0,North-East,2350,28900200
Noida,Sector 150,House,3394,2,2,11,East,2030,30412137
Noida,Greater Noida,House,1589,4,4,24,West,4222,10627155
Kanpur,Kidwai Nagar,House,2662,5,5,8,South,1828,11597188
Kanpur,Swaroop Nagar,Plot,1981,0,0,0,South,1832,7181660
Gorakhpur,Taramandal,Flat,1607,5,5,4,North-East,3247,9443709
Banaras,Sigra,Plot,3804,0,0,0,West,4626,15424512
Gorakhpur,Medical Road,Flat,2590,5,5,8,West,3156,10972335
Noida,Sector 150,Flat,3324,1,1,22,North,1306,30373576
Lucknow,Gomti Nagar,House,2501,5,5,2,North-East,3411,16459687
Noida,Greater Noida,Flat,4582,5,5,18,East,163,41491599
Lucknow,Indira Nagar,Flat,2347,5,5,21,North-East,3460,12884300
Kanpur,Swaroop Nagar,Flat,2309,5,5,0,West,662,11467260
Kanpur,Swaroop Nagar,Flat,1863,2,2,14,South,1728,7284211
Gorakhpur,Shahpur,House,4181,4,4,3,North-East,330,19869071
Noida,Greater Noida,Flat,3536,5,5,16,West,3849,24554774
Noida,Sector 62,Flat,2587,1,1,9,East,2312,18806439
Kanpur,Arya Nagar,Flat,1155,5,5,16,North,1468,6048353
Noida,Greater Noida,Flat,1369,5,5,15,North-East,3970,10247500
Gorakhpur,Shahpur,Flat,1427,4,4,13,South,213,14606360
Lucknow,Hazratganj,Flat,3623,1,1,1,South,230,27536361
Banaras,Sigra,House,2124,5,5,18,North-East,639,13774882
Gorakhpur,Shahpur,House,916,5,5,14,East,1773,5334967
Banaras,Lanka,Flat,4999,2,2,14,North,2946,29816069
Lucknow,Indira Nagar,Flat,1572,2,2,7,West,740,9937502
Noida,Sector 150,Flat,3346,5,5,15,South,599,34400751
Banaras,Lanka,Flat,1255,5,5,9,South,3007,9070355
Kanpur,Kidwai Nagar,Flat,2207,5,5,20,North-East,4046,8209790
Lucknow,Indira Nagar,Plot,4593,0,0,0,West,4292,19782652
Banaras,Sigra,Flat,3529,4,4,13,West,345,21203911
Gorakhpur,Medical Road,Plot,4009,0,0,0,South,3132,14001234
Lucknow,Hazratganj,Plot,2094,0,0,0,North-East,4654,11354475
Lucknow,Gomti Nagar,House,4910,4,4,10,North-East,2964,30840114
Gorakhpur,Medical Road,Flat,2243,5,5,2,North,456,12115004
Kanpur,Arya Nagar,Plot,4353,0,0,0,West,3367,14375546
Banaras,Lanka,Flat,3255,4,4,12,North-East,2579,20877893
Noida,Greater Noida,Flat,1209,4,4,0,East,3984,9049509
Banaras,Lanka,Plot,1301,0,0,0,South,431,9121471
Kanpur,Kidwai Nagar,Plot,4203,0,0,0,North-East,2470,14343160
Gorakhpur,Shahpur,House,2606,4,4,7,South,1797,12015817
Lucknow,Indira Nagar,Flat,4527,5,5,2,East,2174,25452040
Lucknow,Gomti Nagar,Flat,4306,1,1,3,West,2826,26947666
Gorakhpur,Medical Road,Flat,2328,4,4,16,North-East,226,23554036
Lucknow,Indira Nagar,Flat,2859,1,1,13,West,3810,13326543
Lucknow,Indira Nagar,Flat,1517,2,2,21,North,549,9318313
Noida,Sector 62,House,3957,3,3,18,North,1390,30559429
Noida,Greater Noida,Plot,1919,0,0,0,North-East,3241,12999567
Banaras,Sarnath,Flat,1890,4,4,4,West,4575,9132142
Lucknow,Indira Nagar,Plot,3148,0,0,0,South,1488,17774286
Banaras,Sigra,Flat,1540,4,4,13,East,644,9928388
Banaras,Lanka,Flat,4886,3,3,21,North,1961,31354509
Kanpur,Kidwai Nagar,Plot,2688,0,0,0,South,843,10351751
Lucknow,Indira Nagar,House,4624,1,1,22,North,3427,21998858
Banaras,Sarnath,House,1966,2,2,11,South,1728,10607199
Kanpur,Swaroop Nagar,Flat,990,4,4,2,West,1962,5335951
Lucknow,Gomti Nagar,House,3313,4,4,13,West,1344,24617062
Gorakhpur,Shahpur,Flat,4226,3,3,8,North-East,2597,17125459
Noida,Sector 62,House,3196,2,2,20,North,4062,19646727
Kanpur,Swaroop Nagar,Flat,1385,3,3,5,South,2721,5838892
Kanpur,Arya Nagar,House,778,1,1,23,North,4039,2242871
Lucknow,Indira Nagar,Flat,2082,1,1,8,South,4178,9567751
Banaras,Sigra,Flat,2332,5,5,21,North-East,103,14857322
Banaras,Sarnath,Flat,2247,5,5,1,North,4916,10250347
Lucknow,Indira Nagar,Flat,3651,1,1,6,North-East,4176,16855446
Gorakhpur,Taramandal,Flat,2776,1,1,10,West,2404,14437094
Lucknow,Hazratganj,House,1534,5,5,12,West,79,13944542
Noida,Greater Noida,Plot,3781,0,0,0,North,4300,23391505
Kanpur,Arya Nagar,House,817,4,4,11,North,666,4754121
Kanpur,Swaroop Nagar,House,786,4,4,6,North,3866,3811239
Kanpur,Swaroop Nagar,House,3570,4,4,9,South,940,15423627
Kanpur,Kidwai Nagar,Flat,3440,1,1,12,North-East,1349,13543588
Gorakhpur,Rustampur,Plot,1623,0,0,0,North-East,2131,6092803
Gorakhpur,Taramandal,Plot,956,0,0,0,North-East,984,5256824
Lucknow,Gomti Nagar,Flat,2545,1,1,12,South,1720,17796069
Noida,Greater Noida,Plot,4807,0,0,0,East,2160,35790295
Lucknow,Hazratganj,Flat,2191,2,2,9,North-East,2641,14375304
Lucknow,Gomti Nagar,Flat,4157,1,1,3,North-East,3264,24661348
Lucknow,Hazratganj,Flat,1077,4,4,22,South,4168,6851732
Lucknow,Indira Nagar,Plot,2870,0,0,0,West,233,17250371
Noida,Sector 62,Plot,3421,0,0,0,North-East,3516,22408558
Lucknow,Indira Nagar,Flat,1703,5,5,15,South,1473,11120386
Lucknow,Indira Nagar,Plot,2897,0,0,0,North,4022,12860661
Lucknow,Gomti Nagar,Flat,4514,2,2,24,North-East,844,32613159
Kanpur,Swaroop Nagar,Flat,4824,5,5,13,East,1793,19576271
Noida,Sector 150,Flat,2958,3,3,8,East,1582,28142726
Kanpur,Kidwai Nagar,Plot,1173,0,0,0,North,2132,4352975
Gorakhpur,Taramandal,Plot,4609,0,0,0,East,269,42569389
Gorakhpur,Medical Road,Plot,1783,0,0,0,South,626,7848159
Banaras,Sigra,House,3069,2,2,20,North-East,1170,16660256
Kanpur,Swaroop Nagar,Flat,4593,3,3,9,West,1376,18454739
Lucknow,Gomti Nagar,Plot,2306,0,0,0,East,4164,12889627
Kanpur,Arya Nagar,Plot,3319,0,0,0,West,832,13407166
Banaras,Sigra,House,3930,3,3,24,West,3353,18028540
Gorakhpur,Taramandal,House,2923,3,3,19,North,123,29939155
Lucknow,Indira Nagar,House,1160,3,3,11,North,867,7676552
Noida,Sector 62,Plot,3803,0,0,0,West,770,31445779
Kanpur,Arya Nagar,Flat,2927,4,4,9,South,4024,9984489
